Product Name,Product Price,Product Description,Product Reviews
"vivo V40 Pro 5G (Titanium Grey, 256 GB)","₹49,999",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5500 mAh BatteryDimensity 9200+ Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.5
"IQOO 12 5G (Alpha, 256 GB)","₹49,736",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5000 mAh Battery1 Year Brand Warranty,4.5
"OnePlus 11 5G (Titan Black, 256 GB)","₹47,990",16 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera | 16MP Front Camera5000 mAh Batterydomestic warranty of 12 months on phone & 6 months on accessories,4.5
"IQOO 12 (Legend, 256 GB)","₹49,999",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5000 mAh Battery1 Year,4.3
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Navy, 128 GB)","₹45,999",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display12MP + 12MP + 8MP (OIS) | 32MP Front Camera4500 mAh Lithium-ion BatterySnapdragon 888 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.3
"Apple iPhone 12 (Blue, 64 GB)","₹48,900","64 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR Recording1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6
"Apple iPhone 12 (White, 64 GB)","₹48,900","64 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR Recording1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6
"Apple iPhone 11 (Purple, 128 GB)","₹48,900",128 GB ROM15.49 cm (6.1 inch) Liquid Retina HD Display12MP + 12MP | 12MP Front CameraA13 Bionic Chip Processor1 year warranty for phone and 1 year warranty for in Box Accessories.,4.6
"Apple iPhone 11 (Black, 128 GB)","₹48,900",128 GB ROM15.49 cm (6.1 inch) Liquid Retina HD Display12MP + 12MP | 12MP Front CameraA13 Bionic Chip Processor1 year warranty for phone and 1 year warranty for in Box Accessories.,4.6
"Apple iPhone 8 Plus (Silver, 64 GB)","₹49,900","64 GB ROM13.97 cm (5.5 inch) Retina HD Display12MP + 12MP | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessorBrand Warranty of 1 Year",4.6
"Honor 200 Pro 5G (Black, 512 GB)","₹39,999",12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Super AMOLED Display50MP + 50MP + 12MP | 50MP Front Camera5200 mAh BatterySnapdragon 8s Gen 3 Processor1 year manufacturer's warranty for handset & 6 months for accessories,4
"Apple iPhone 11 (Red, 128 GB)","₹48,900",128 GB ROM15.49 cm (6.1 inch) Liquid Retina HD Display12MP + 12MP | 12MP Front CameraA13 Bionic Chip Processor1 year warranty for phone and 1 year warranty for in Box Accessories.,4.6
"realme X50 Pro (Moss Green, 256 GB)","₹47,999",12 GB RAM | 256 GB ROM16.36 cm (6.44 inch) Full HD+ Display64MP + 12MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera4200 mAh Battery5G PhoneQualcomm Snapdragon 865 Processor65W Superdart ChargeBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.4
"Honor 200 Pro 5G (Ocean Cyan, 512 GB)","₹45,999",12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Super AMOLED Display50MP + 50MP + 12MP | 50MP Front Camera5200 mAh BatterySnapdragon 8s Gen 3 Processor1 year manufacturer's warranty for handset & 6 months for accessories,4
"OnePlus 10 Pro 5G (Volcanic Black, 128 GB)","₹41,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display48MP Rear Camera | 32MP Front Camera5000 mAh Battery1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,4.2
"SAMSUNG Galaxy A56 5G (Awesome Olive, 256 GB)","₹49,900",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 5MP | 12MP Front Camera5000 mAh BatterySamsung Exynos 1580 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6
"Apple iPhone 8 Plus (Gold, 64 GB)","₹47,600","64 GB ROM13.97 cm (5.5 inch) Retina HD Display12MP + 12MP | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessorBrand Warranty of 1 Year",4.4
"Apple iPhone SE 3rd Gen (Product (Red), 64 GB)","₹49,995","64 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6
"SAMSUNG Galaxy A56 5G (Awesome Light Gray, 256 GB)","₹47,900",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 5MP | 12MP Front Camera5000 mAh BatterySamsung Exynos 1580 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6
"Apple iPhone XR (Yellow, 64 GB) (Includes EarPods, Power Adapter)","₹47,900",64 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessoriOS 13 Compatible1 year warranty for phone and 1 year warranty for in Box Accessories.,N/A
